iter	Passed	Remaining
0	142	142048
1	143	71821
2	145	48287
3	146	36502
4	148	29461
5	149	24732
6	154	21915
7	156	19371
8	157	17364
9	158	15740
10	160	14411
11	161	13299
12	162	12368
13	165	11641
14	168	11042
15	169	10444
16	171	9915
17	172	9425
18	174	8984
19	175	8587
20	176	8232
21	183	8141
22	185	7894
23	190	7727
24	191	7468
25	197	7401
26	200	7209
27	201	7004
28	203	6799
29	204	6606
30	205	6434
31	207	6269
32	211	6190
33	213	6068
34	215	5944
35	216	5806
36	218	5674
37	219	5546
38	220	5424
39	221	5309
40	227	5315
41	228	5221
42	229	5116
43	230	5014
44	232	4924
45	233	4838
46	234	4750
47	235	4667
48	238	4633
49	240	4574
50	242	4514
51	244	4448
52	245	4379
53	246	4310
54	246	4243
55	248	4185
56	249	4132
57	253	4110
58	254	4057
59	255	4003
60	256	3954
61	257	3900
62	258	3847
63	259	3795
64	260	3745
65	261	3696
66	262	3649
67	262	3599
68	268	3622
69	269	3586
70	271	3546
71	272	3506
72	272	3465
73	273	3425
74	274	3389
75	275	3352
76	276	3315
77	277	3280
78	278	3246
79	279	3219
80	283	3215
81	285	3199
82	287	3171
83	288	3141
84	288	3109
85	290	3083
86	290	3053
87	292	3026
88	299	3063
89	300	3040
90	301	3014
91	303	2991
92	304	2966
93	305	2945
94	306	2920
95	307	2895
96	308	2870
97	319	2940
98	323	2945
99	324	2922
100	328	2921
101	331	2916
102	332	2897
103	333	2876
104	334	2854
105	336	2834
106	337	2812
107	337	2791
108	345	2823
109	346	2805
110	348	2792
111	349	2774
112	350	2754
113	351	2734
114	352	2714
115	353	2693
116	354	2673
117	362	2708
118	363	2689
119	364	2675
120	365	2657
121	367	2643
122	367	2622
123	368	2604
124	369	2587
125	371	2576
126	377	2596
127	378	2579
128	379	2563
129	380	2547
130	381	2532
131	382	2516
132	383	2500
133	384	2484
134	391	2507
135	392	2493
136	394	2481
137	395	2470
138	396	2456
139	397	2441
140	398	2426
141	399	2412
142	400	2397
143	401	2383
144	407	2402
145	409	2392
146	410	2381
147	411	2368
148	412	2356
149	414	2346
150	415	2333
151	416	2321
152	422	2337
153	423	2328
154	425	2317
155	426	2305
156	427	2293
157	428	2281
158	429	2270
159	433	2275
160	437	2278
161	438	2268
162	439	2257
163	441	2250
164	442	2239
165	444	2232
166	448	2237
167	451	2238
168	453	2227
169	454	2217
170	455	2207
171	456	2199
172	458	2193
173	459	2183
174	464	2189
175	465	2179
176	466	2170
177	467	2161
178	469	2152
179	471	2145
180	472	2139
181	473	2130
182	475	2120
183	476	2114
184	478	2110
185	480	2104
186	482	2095
187	483	2086
188	483	2076
189	484	2066
190	486	2061
191	490	2064
192	491	2056
193	492	2047
194	493	2038
195	495	2030
196	496	2025
197	498	2017
198	499	2008
199	504	2019
200	507	2017
201	508	2009
202	509	2001
203	510	1993
204	511	1985
205	512	1977
206	514	1970
207	517	1968
208	518	1961
209	519	1955
210	521	1948
211	522	1941
212	523	1933
213	524	1928
214	526	1920
215	526	1912
216	527	1904
217	528	1897
218	529	1889
219	531	1885
220	533	1880
221	534	1874
222	536	1870
223	539	1867
224	543	1870
225	544	1864
226	547	1863
227	549	1859
228	550	1851
229	551	1845
230	552	1839
231	554	1836
232	561	1847
233	562	1841
234	570	1858
235	576	1867
236	578	1862
237	580	1857
238	581	1851
239	582	1845
240	583	1838
241	585	1832
242	586	1826
243	587	1819
244	591	1821
245	592	1815
246	593	1809
247	594	1803
248	598	1804
249	602	1808
250	604	1803
251	605	1797
252	607	1795
253	609	1790
254	610	1784
255	619	1801
256	621	1797
257	622	1791
258	624	1786
259	626	1784
260	631	1789
261	634	1787
262	635	1782
263	637	1776
264	638	1770
265	639	1764
266	640	1759
267	649	1774
268	651	1771
269	654	1768
270	655	1763
271	656	1758
272	671	1786
273	673	1784
274	678	1790
275	681	1786
276	682	1781
277	683	1775
278	685	1770
279	686	1765
280	688	1761
281	696	1773
282	698	1768
283	700	1765
284	701	1760
285	703	1755
286	717	1782
287	719	1778
288	720	1773
289	725	1776
290	728	1774
291	729	1769
292	731	1765
293	732	1760
294	734	1755
295	735	1749
296	737	1744
297	738	1740
298	741	1737
299	742	1732
300	743	1726
301	745	1722
302	751	1728
303	753	1724
304	754	1718
305	755	1713
306	758	1711
307	759	1707
308	766	1715
309	768	1709
310	769	1704
311	770	1699
312	772	1695
313	773	1690
314	775	1685
315	783	1696
316	785	1691
317	786	1686
318	788	1682
319	789	1677
320	790	1672
321	792	1669
322	795	1667
323	796	1662
324	798	1657
325	799	1652
326	800	1647
327	801	1642
328	803	1638
329	804	1634
330	807	1631
331	808	1627
332	809	1622
333	811	1617
334	812	1612
335	813	1607
336	814	1602
337	815	1597
338	816	1592
339	817	1587
340	819	1582
341	820	1578
342	821	1574
343	822	1569
344	823	1563
345	825	1559
346	831	1564
347	833	1561
348	835	1558
349	836	1553
350	837	1548
351	838	1543
352	841	1542
353	881	1607
354	882	1603
355	886	1604
356	888	1600
357	891	1598
358	892	1594
359	894	1589
360	895	1585
361	896	1580
362	899	1577
363	900	1573
364	902	1569
365	904	1566
366	905	1561
367	907	1558
368	908	1554
369	910	1549
370	920	1561
371	922	1558
372	926	1557
