iter	Passed	Remaining
0	137	137235
1	144	71937
2	145	48389
3	146	36598
4	148	29543
5	149	24806
6	151	21423
7	152	18969
8	154	17019
9	155	15432
10	157	14125
11	158	13038
12	159	12117
13	160	11329
14	162	10644
15	163	10046
16	164	9517
17	166	9082
18	167	8673
19	169	8294
20	170	7949
21	171	7636
22	173	7355
23	174	7094
24	175	6852
25	176	6630
26	178	6422
27	179	6235
28	181	6078
29	182	5912
30	184	5754
31	185	5606
32	186	5475
33	188	5345
34	189	5221
35	190	5105
36	191	4993
37	192	4884
38	194	4794
39	195	4702
40	197	4612
41	198	4523
42	199	4448
43	201	4371
44	202	4293
45	203	4214
46	204	4138
47	205	4066
48	205	3995
49	206	3929
50	208	3886
51	210	3838
52	211	3778
53	212	3719
54	213	3669
55	214	3616
56	215	3566
57	216	3515
58	217	3466
59	218	3419
60	219	3372
61	219	3327
62	220	3284
63	223	3267
64	224	3232
65	225	3192
66	226	3154
67	227	3116
68	228	3079
69	229	3043
70	229	3009
71	230	2975
72	231	2942
73	232	2909
74	233	2878
75	234	2848
76	235	2818
77	236	2791
78	238	2775
79	239	2751
80	240	2725
81	241	2699
82	241	2669
83	242	2643
84	243	2619
85	244	2595
86	245	2571
87	245	2548
88	246	2525
89	247	2503
90	248	2481
91	249	2460
92	250	2439
93	251	2426
94	252	2408
95	253	2391
96	255	2378
97	258	2380
98	259	2362
99	260	2344
100	261	2326
101	262	2308
102	263	2291
103	263	2274
104	264	2257
105	266	2246
106	267	2234
107	268	2218
108	269	2202
109	270	2187
110	271	2171
111	272	2156
112	272	2141
113	273	2127
114	274	2113
115	275	2099
116	276	2084
117	277	2070
118	277	2057
119	278	2044
120	279	2031
121	281	2025
122	282	2013
123	283	2004
124	284	1994
125	285	1982
126	286	1969
127	287	1957
128	288	1945
129	289	1934
130	289	1922
131	290	1911
132	291	1900
133	292	1889
134	293	1879
135	294	1871
136	295	1863
137	296	1854
138	297	1844
139	298	1835
140	300	1829
141	301	1819
142	301	1809
143	302	1800
144	303	1790
145	304	1781
146	305	1772
147	306	1763
148	307	1754
149	308	1746
150	309	1742
151	310	1734
152	311	1726
153	312	1717
154	313	1709
155	314	1701
156	315	1693
157	316	1684
158	317	1676
159	317	1668
160	318	1659
161	319	1652
162	320	1644
163	321	1637
164	322	1630
